# Date: 2025-12-31
# Run Type: vt2
# Speed: 5.5 mph
# VT1 Threshold: 86.0 L/min
# VT2 Threshold: 126.0 L/min
# Intervals: 15
# Interval Duration: 3.0 min
# Recovery Duration: 1.0 min
#
timestamp,elapsed_sec,VE,HR,phase,speed
2025-12-31T13:57:45.186579Z,341.680,75,115,warmup,5.5
2025-12-31T13:57:46.346579Z,342.840,91,114,warmup,5.5
2025-12-31T13:57:47.986579Z,344.480,78,118,warmup,5.5
2025-12-31T13:57:48.986579Z,345.480,91,114,warmup,5.5
2025-12-31T13:57:50.346579Z,346.840,62,118,warmup,5.5
2025-12-31T13:57:51.666579Z,348.160,89,116,warmup,5.5
2025-12-31T13:57:53.186579Z,349.680,94,116,warmup,5.5
2025-12-31T13:57:54.826579Z,351.320,51,114,warmup,5.5
2025-12-31T13:57:56.146579Z,352.640,69,116,warmup,5.5
2025-12-31T13:57:57.586579Z,354.080,83,115,warmup,5.5
2025-12-31T13:57:59.066579Z,355.560,76,115,warmup,5.5
2025-12-31T13:58:00.746579Z,357.240,53,115,warmup,5.5
2025-12-31T13:58:02.066579Z,358.560,71,113,warmup,5.5
2025-12-31T13:58:03.466579Z,359.960,81,116,warmup,5.5
2025-12-31T13:58:04.906579Z,361.400,81,112,warmup,5.5
2025-12-31T13:58:06.146579Z,362.640,77,113,warmup,5.5
2025-12-31T13:58:07.346579Z,363.840,98,114,warmup,5.5
2025-12-31T13:58:08.866579Z,365.360,63,114,warmup,5.5
2025-12-31T13:58:10.066579Z,366.560,69,114,warmup,5.5
2025-12-31T13:58:11.426579Z,367.920,67,114,warmup,5.5
2025-12-31T13:58:12.666579Z,369.160,61,114,warmup,5.5
2025-12-31T13:58:13.906579Z,370.400,71,114,warmup,5.5
2025-12-31T13:58:15.306579Z,371.800,63,115,warmup,5.5
2025-12-31T13:58:16.706579Z,373.200,63,113,warmup,5.5
2025-12-31T13:58:18.146579Z,374.640,83,115,warmup,5.5
